id,created_at,updated_at,link_foto,link_video,nombre,tipo,descripcion,contenidos_ofensivos,contenidos_defensivos,consignas,reglas,variantes
68,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:42.521858+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p19_Dinamica_4_vs_4_4C_2A.jpg,,Dinámica 4 vs 4 + 4C + 2A,abierta,2 equipos de 4 jugadores + A se enfrentan en el doble de área. Un tercer equipo de 4 jugadores actúa como comodines por fuera. El equipo con balón intentará hacer gol y podrá apoyarse con los comodines profundos para atacar el centro.,"[""Mantener las 3 líneas."",""Aparecer / no estar."",""Mirar lejos.""]","[""Responsabilidad en zonas."",""Compensar."",""Check para presionar.""]","[""Ofensivamente estar en estructura 2-1-1 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Llegar a defender desde los carriles y un jugador por delante de la línea (3+1)."",""Identificar marcas en el área.""]",,"[""Los arqueros inician la tarea."",""El gol es válido desde cualquier zona."",""Incentivar el encontrar a los comodines por fuera para provocar situaciones de centro.""]"
69,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:36.246629+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p20_Dinamica_6_vs_4_2P_2A.jpg,,Dinámica 6 vs 4 + 2P + 2A,abierta,"El equipo en posesión tendrá una superioridad numérica de 2 jugadores. Posicionarán 2 en zona fuera del área, 2 en amplitud y 2 in profundidad. Intentarán someter al equipo defensor y realizar la mayor cantidad de goles.","[""Encontrar al jugador libre."",""Separarse."",""Continuidad."",""Desmarque corto.""]","[""Compensar."",""Responsabilidad en zonas."",""1 vs 2.""]","[""Ofensivamente saltar pase."",""Esconder el pase."",""Defensivamente No pasar de largo."",""Estar juntos y compactos.""]",,"[""El juego se inicia con el arquero del equipo que ataca."",""No hay fuera de juego.""]"
70,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:26.273253+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p21_Dinamica_6_vs_6_2C_2AC.jpg,,Dinámica 6 vs 6 + 2C + 2AC,abierta,Se enfrentan 2 equipos de 6 jugadores + AC + 2 comodines. El equipo en posesión intentará llegar a espacios con balón dominado o con situaciones de desmarques en los portales. Los comodines se ubican en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 2-4-2 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
71,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:35.649104+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p22_Dinamica_6_vs_6_2C_2A.jpg,,Dinámica 6 vs 6 + 2C + 2A,abierta,Se enfrentan 2 equipos de 6 jugadores + AC + 2 comodines. El equipo en posesión intentará llegar a espacios con balón dominado buscando finalizar las acciones en los arcos. Los comodines se ubican en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse."",""Remate al arco.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante."",""Defender rebote y a su arquero.""]","[""Ofensivamente estar en estructura 2-4-2 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
72,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:26.822426+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p23_Dinamica_7_vs_5_2P_2A.jpg,,Dinámica 7 vs 5 + 2P + 2A,abierta,"El equipo en posesión tendrá una superioridad numérica de 2 jugadores. Posicionarán 2 en la zona central, 1 fuera del área, 2 en amplitud y 2 en profundidad. Intentarán someter al equipo defensor y realizar la mayor cantidad de goles.","[""Encontrar al jugador libre."",""Separarse."",""Continuidad."",""Desmarque corto.""]","[""Compensar."",""Responsabilidad en zonas."",""1 vs 2.""]","[""Ofensivamente saltar pase."",""Esconder el pase."",""Defensivamente estar en estructura 4-1."",""Perfiles defensivos."",""Estar juntos y compactos."",""Pasos para adelante, limpiar el área.""]",,"[""El juego se inicia con el arquero del equipo que ataca."",""No hay fuera de juego.""]"
73,2026-07-31 16:06:20.868462+00,2026-07-31 16:50:15.6482+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p24_Dinamica_7_vs_7_C_2AC.jpg,,Dinámica 7 vs 7 + C + 2AC,abierta,Se enfrentan 2 equipos de 7 jugadores + AC + 1 comodín. El equipo en posesión intentará llegar a espacios con balón dominado o con situaciones de desmarques en los portales. El comodín se ubica en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 3-1-3 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
74,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:39.615376+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p25_Dinamica_7_vs_7_C_2A.jpg,,Dinámica 7 vs 7 + C + 2A,abierta,Se enfrentan 2 equipos de 7 jugadores + AC + 1 comodín. El equipo en posesión intentará llegar a espacios con balón dominado buscando finalizar las acciones en los arcos. El comodín se ubica en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse."",""Remate al arco.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante."",""Defender rebote y a su arquero.""]","[""Ofensivamente estar en estructura 3-1-3 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
75,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:46.629326+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p26_Dinamica_7_vs_9_P_A_Linea_defensiva_.jpg,,Dinámica 7 vs 9 + P + A (Línea defensiva),abierta,"Defienden 7 jugadores + A vs 9 atacantes que intentarán realizar gol en el arco grande. El equipo que defiende, al recuperar el balón, podrá buscar al jugador en mitad de cancha para luego hacer el gol en un arco pequeño.","[""Mantener 3 líneas."",""Desmarques cortos y atacar profundidad."",""No montarse.""]","[""Coordinación línea defensiva."",""Pasos hacia adelante."",""Defender profundidad."",""Compensar.""]","[""Estar alineados."",""Achicar espacios cuando el balón se juega hacia atrás."",""Estar perfilados en relación al balón, evitar pases por dentro y poder identificar tu marca."",""Defender en L cuando balón va hacia bandas."",""Estar preparados y correr para atrás defendiendo profundidad.""]",,"[""El balón iniciará desde distintas partes elegido por el entrenador."",""No existirá fuera de juego para que la línea siempre corra hacia atrás."",""Agregar una transición con ataque en un arco grande.""]"
76,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:30.836074+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p27_Dinamica_8_vs_6_2P_2A_corta_.jpg,,Dinámica 8 vs 6 + 2P + 2A (corta),abierta,Se enfrenta un equipo de 8 jugadores + A vs 6 jugadores + A + 2 profundos. El equipo en superioridad generará ataques intentando finalizar en gol. El equipo que defiende en inferioridad intentará compensar y ajustar. Si logran recuperar podrán jugar con los profundos para hacer gol.,"[""Encontrar el jugador libre."",""Tercer hombre."",""Continuidad."",""Atraer al rival."",""No montarse.""]","[""Compensar."",""Mantener distancia."",""1 v 2."",""Pasos para adelante.""]","[""Ofensivamente Mantener 3 líneas (3-2-3)."",""Saltar pase."",""Utilizar todos los carriles en ataque."",""Defensivamente supervivencia."",""Estar juntos y compactos (Marcar en dos pasillos).""]",,"[""Inicios con el arquero."",""No hay fuera de juego.""]"
77,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:32.656853+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p28_Dinamica_8_vs_6_2P_2A_largo_.jpg,,Dinámica 8 vs 6 + 2P + 2A (largo),abierta,Se enfrenta un equipo de 8 jugadores + A vs 6 jugadores + A + 2 profundos. El equipo en superioridad generará ataques intentando finalizar en gol. El equipo en inferioridad intentará compensar y ajustar. Si logran recuperar podrán jugar con los profundos para hacer gol.,"[""Encontrar el jugador libre."",""Tercer hombre."",""Continuidad."",""Atraer al rival."",""No montarse.""]","[""Compensar."",""Mantener distancia."",""1 v 2."",""Pasos para adelante.""]","[""Ofensivamente Mantener 3 líneas (3-2-3)."",""Saltar pase."",""Utilizar todos los carriles en ataque."",""Defensivamente supervivencia."",""Estar juntos y compactos (Marcar en dos pasillos).""]",,"[""Inicios con el arquero."",""No hay fuera de juego."",""Versión corta: 8vs6 + 2P + 2A (corta).""]"
78,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:41.122987+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p29_Dinamica_8_vs_8_C_2AC.jpg,,Dinámica 8 vs 8 + C + 2AC,abierta,Se enfrentan 2 equipos de 8 jugadores + Arquero comodín + 1 comodín. El equipo en posesión intentará llegar a espacios con balón dominado o con situaciones de desmarques en los portales. El comodín se ubica en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 3-2-3 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
79,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:15.068065+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p30_Dinamica_8_vs_8_C_2A.jpg,,Dinámica 8 vs 8 + C + 2A,abierta,Se enfrentan 2 equipos de 8 jugadores + Arquero comodín + 1 comodín. El equipo en posesión intentará llegar a espacios con balón dominado buscando finalizar acciones en los arcos. El comodín se ubica en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse."",""Remate al arco.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante."",""Defender rebote y a su arquero.""]","[""Ofensivamente estar en estructura 3-2-3 (profundo)."",""Utilizar al AC para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""No pasar de largo."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques."",""No existe fuera de juego.""]"
80,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:40.633279+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p31_Dinamica_9_vs_8_2A.jpg,,Dinámica 9 vs 8 + 2A,abierta,"El equipo de 9 jugadores intentará salir jugando en superioridad numérica para llegar al gol. El equipo de 8 jugadores, en inferioridad, tiene que presionar y estar en distancia para compensar el jugador de menos con el rombo defensivo. Al recuperar podrán atacar el arco inmediatamente.","[""Mirar lejos."",""Entrar en conducción."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 4-2-3."",""Defensivamente estar en estructura 3-2-3."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Defender en zona y no al hombre.""]",,"[""Inicia el equipo en superioridad numérica.""]"
81,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:13.264164+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p32_Dinamica_10_vs_8_2P_2A.jpg,,Dinámica 10 vs 8 + 2P + 2A,abierta,Se enfrenta un equipo de 10 jugadores + A vs 8 jugadores + A + 2 profundos. El equipo en superioridad generará ataques intentando finalizar en gol. El equipo en inferioridad intentará compensar. Si logran recuperar podrán jugar con los profundos para hacer gol.,"[""Encontrar el jugador libre."",""Tercer hombre."",""Continuidad."",""Atraer al rival."",""No montarse.""]","[""Compensar."",""Mantener distancia."",""1 v 2."",""Pasos para adelante.""]","[""Ofensivamente Mantener 3 líneas (4-3-3)."",""Saltar pase."",""Utilizar todos los carriles en ataque."",""Defensivamente supervivencia."",""Estar juntos y compactos (Marcar en dos pasillos).""]",,"[""Inicios con el arquero."",""No hay fuera de juego.""]"
82,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:43.25948+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p33_Dinamica_10_vs_9_2A.jpg,,Dinámica 10 vs 9 + 2A,abierta,"El equipo de 10 jugadores intentará progresar en superioridad para llegar al gol. El equipo de 9 jugadores, en inferioridad, tiene que defender y estar en distancia para compensar el jugador de menos. Al recuperar podrán atacar la portería inmediatamente.","[""Mirar lejos."",""Entrar en conducción."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 4-3-3 / 4-2-4."",""Defensivamente estar en estructura 4-4-1."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Llevar balón al pasillo libre.""]",,"[""Inicia el equipo en superioridad numérica.""]"
